"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\app_state.dart", "Dart", 131, 2, 12, 145
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\loginscreen.dart", "Dart", 2, 0, 0, 2
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\userdata.dart", "Dart", 8, 0, 0, 8
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\gymdata.dart", "Dart", 4, 0, 0, 4
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\invitedata.dart", "Dart", 14, 0, 1, 15
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\membershipdata.dart", "Dart", 3, 0, 0, 3
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\adaptivedivider.dart", "Dart", 1, 0, 0, 1
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\genderfield.dart", "Dart", 18, 0, 0, 18
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\profileconfig.dart", "Dart", 3, 0, 0, 3
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profilelisttile.dart", "Dart", 1, 0, 0, 1
"c:\Users\ferna\development\flutter\gymapp\lib\functions\formatduration.dart", "Dart", 5, 0, 1, 6
"c:\Users\ferna\development\flutter\gymapp\lib\functions\random_string.dart", "Dart", 8, 0, 2, 10
"c:\Users\ferna\development\flutter\gymapp\lib\functions\showinfodialog.dart", "Dart", 21, 0, 2, 23
"c:\Users\ferna\development\flutter\gymapp\lib\functions\showprogressdialog.dart", "Dart", 16, 0, 2, 18
"c:\Users\ferna\development\flutter\gymapp\lib\main.dart", "Dart", 8, 0, 0, 8
"c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\confirmationdialog.dart", "Dart", 40, 0, 2, 42
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\gyms_list.dart", "Dart", 38, 0, 0, 38
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\choosevaluedialog.dart", "Dart", 90, 0, 5, 95
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\invitesettings.dart", "Dart", 121, 0, 4, 125
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\lengthinputdialog.dart", "Dart", 63, 0, 4, 67
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\settings.dart", "Dart", 40, 0, 4, 44
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\creategym.dart", "Dart", 36, 0, 0, 36
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\fields\controllerfield.dart", "Dart", 2, 0, 0, 2
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\gym_view.dart", "Dart", 18, 0, 0, 18
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\chat\chattile.dart", "Dart", 12, 0, 4, 16
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\chat\mychats.dart", "Dart", 21, 0, 4, 25
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\demodata.dart", "Dart", 44, 0, 1, 45
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\exercisedemo.dart", "Dart", 39, 0, 4, 43
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\exercisedemos.dart", "Dart", 85, 0, 5, 90
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\demomaker.dart", "Dart", 156, 0, 5, 161
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\extraadvice.dart", "Dart", 45, 0, 3, 48
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\pages\exercise_demos\interfaces\video_viewer.dart", "Dart", 61, 0, 6, 67
