Date : 2023-12-10 11:25:02
Directory : c:\Users\ferna\development\flutter\gymapp\lib
Total : 62 files,  4142 codes, 26 comments, 245 blanks, all 4413 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         62 |      4,142 |         26 |        245 |      4,413 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |         62 |      4,142 |         26 |        245 |      4,413 |
| . (Files)                                                                                                                                    |          2 |        106 |         12 |         11 |        129 |
| firebase                                                                                                                                     |         16 |      1,072 |          9 |         70 |      1,151 |
| firebase (Files)                                                                                                                             |          1 |        310 |          6 |         29 |        345 |
| firebase\auth                                                                                                                                |          2 |         95 |          1 |          4 |        100 |
| firebase\gyms                                                                                                                                |          4 |         84 |          0 |          4 |         88 |
| firebase\widgets                                                                                                                             |          9 |        583 |          2 |         33 |        618 |
| firebase\widgets (Files)                                                                                                                     |          3 |        126 |          0 |         10 |        136 |
| firebase\widgets\profile_config                                                                                                              |          6 |        457 |          2 |         23 |        482 |
| firebase\widgets\profile_config (Files)                                                                                                      |          2 |        153 |          0 |          7 |        160 |
| firebase\widgets\profile_config\fields                                                                                                       |          4 |        304 |          2 |         16 |        322 |
| functions                                                                                                                                    |          5 |         56 |          0 |          9 |         65 |
| navigation                                                                                                                                   |          4 |        161 |          0 |          9 |        170 |
| navigation\widgets                                                                                                                           |          4 |        161 |          0 |          9 |        170 |
| pages                                                                                                                                        |         33 |      2,650 |          5 |        136 |      2,791 |
| pages\gyms_page                                                                                                                              |         32 |      2,632 |          5 |        132 |      2,769 |
| pages\gyms_page (Files)                                                                                                                      |          1 |         74 |          1 |          4 |         79 |
| pages\gyms_page\settings                                                                                                                     |          4 |        314 |          0 |         17 |        331 |
| pages\gyms_page\settings (Files)                                                                                                             |          1 |         40 |          0 |          4 |         44 |
| pages\gyms_page\settings\invite                                                                                                              |          3 |        274 |          0 |         13 |        287 |
| pages\gyms_page\widgets                                                                                                                      |         27 |      2,244 |          4 |        111 |      2,359 |
| pages\gyms_page\widgets (Files)                                                                                                              |          1 |         28 |          0 |          3 |         31 |
| pages\gyms_page\widgets\create_gym                                                                                                           |          3 |        353 |          2 |         13 |        368 |
| pages\gyms_page\widgets\create_gym (Files)                                                                                                   |          1 |        161 |          0 |          5 |        166 |
| pages\gyms_page\widgets\create_gym\fields                                                                                                    |          2 |        192 |          2 |          8 |        202 |
| pages\gyms_page\widgets\gym                                                                                                                  |         20 |      1,609 |          2 |         83 |      1,694 |
| pages\gyms_page\widgets\gym\menu                                                                                                             |         18 |      1,410 |          2 |         76 |      1,488 |
| pages\gyms_page\widgets\gym\menu (Files)                                                                                                     |          1 |         86 |          0 |          4 |         90 |
| pages\gyms_page\widgets\gym\menu\pages                                                                                                       |         17 |      1,324 |          2 |         72 |      1,398 |
| pages\gyms_page\widgets\gym\menu\pages\chat                                                                                                  |          5 |        349 |          2 |         21 |        372 |
| pages\gyms_page\widgets\gym\menu\pages\chat (Files)                                                                                          |          1 |         59 |          0 |          4 |         63 |
| pages\gyms_page\widgets\gym\menu\pages\chat\widgets                                                                                          |          4 |        290 |          2 |         17 |        309 |
| pages\gyms_page\widgets\gym\menu\pages\exercise_demos                                                                                        |         11 |        900 |          0 |         48 |        948 |
| pages\gyms_page\widgets\gym\menu\pages\exercise_demos (Files)                                                                                |          4 |        247 |          0 |         13 |        260 |
| pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces                                                                             |          7 |        653 |          0 |         35 |        688 |
| pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces (Files)                                                                     |          5 |        506 |          0 |         28 |        534 |
| pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\widgets                                                                     |          2 |        147 |          0 |          7 |        154 |
| pages\gyms_page\widgets\gym\menu\pages\info                                                                                                  |          1 |         75 |          0 |          3 |         78 |
| pages\gyms_page\widgets\gym\widgets                                                                                                          |          2 |        199 |          0 |          7 |        206 |
| pages\gyms_page\widgets\join_gym                                                                                                             |          2 |        172 |          0 |          8 |        180 |
| pages\gyms_page\widgets\rating                                                                                                               |          1 |         82 |          0 |          4 |         86 |
| pages\home_page                                                                                                                              |          1 |         18 |          0 |          4 |         22 |
| widgets                                                                                                                                      |          2 |         97 |          0 |         10 |        107 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                     | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
