"filename", "language", "C++", "YAML", "Markdown", "JSON", "Swift", "Dart", "HTML", "XML", "Gradle", "Properties", "Java", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ferna\development\flutter\gymapp\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\ferna\development\flutter\gymapp\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 12, 72
"c:\Users\ferna\development\flutter\gymapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 2, 36
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\ferna\development\flutter\gymapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\ferna\development\flutter\gymapp\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\ferna\development\flutter\gymapp\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 5, 36
"c:\Users\ferna\development\flutter\gymapp\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ferna\development\flutter\gymapp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\ferna\development\flutter\gymapp\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\ferna\development\flutter\gymapp\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\ferna\development\flutter\gymapp\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\development\flutter\gymapp\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\app_state.dart", "Dart", 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 6, 39, 521
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\loginscreen.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 3, 60
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\userdata.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\gymdata.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\invitedata.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\membershipdata.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\messagedata.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\icontext.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\mustbeloggedin.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile.dart", "Dart", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 4, 92
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\adaptivedivider.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\birthdayfield.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\field.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\genderfield.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 4, 84
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\profilepicpicker.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 2, 4, 130
"c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\profileconfig.dart", "Dart", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 4, 141
"c:\Users\ferna\development\flutter\gymapp\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 12, 6, 82
"c:\Users\ferna\development\flutter\gymapp\lib\functions\adaptive_color.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ferna\development\flutter\gymapp\lib\functions\alertsnackbar.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\ferna\development\flutter\gymapp\lib\functions\calcage.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ferna\development\flutter\gymapp\lib\functions\formatduration.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ferna\development\flutter\gymapp\lib\functions\handlemessage.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 3, 48
"c:\Users\ferna\development\flutter\gymapp\lib\functions\processconvodocs.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\ferna\development\flutter\gymapp\lib\functions\processmessagedocs.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ferna\development\flutter\gymapp\lib\functions\random_string.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ferna\development\flutter\gymapp\lib\functions\showinfodialog.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ferna\development\flutter\gymapp\lib\functions\showprogressdialog.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\ferna\development\flutter\gymapp\lib\functions\showwarningdialog.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\ferna\development\flutter\gymapp\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 5, 73
"c:\Users\ferna\development\flutter\gymapp\lib\navigation\gorouter.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 72
"c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\confirmationdialog.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\icongoroute.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\navigationdrawer.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\gyms_list.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\add_gym.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\creategym.dart", "Dart", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 5, 200
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\fields\controllerfield.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\fields\gympicpicker.dart", "Dart", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 2, 4, 143
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\gymmenu.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 4, 111
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\my_chats.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_page.dart", "Dart", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 2, 5, 119
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_tile.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 2, 93
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagecard.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 4, 102
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagetyper.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 5, 71
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\demodata.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemo.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 3, 98
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemos.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 5, 107
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\demomaker.dart", "Dart", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 4, 176
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\extraadvice.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\video_viewer.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\videopickfield.dart", "Dart", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 10, 167
